#Transcript position	Transcript coverage profile
0.0	0.23202861070424674
1.0	0.01800500930275528
2.0	0.01912369946756665
3.0	0.029768351880892493
4.0	0.0333912915770713
5.0	0.015532821913273424
6.0	0.033233400467472696
7.0	0.026608065721857935
8.0	0.03833671473957523
9.0	0.030604649748522974
10.0	0.0383358347393798
11.0	0.0308177732350265
12.0	0.027168839302291057
13.0	0.017619054083478688
14.0	0.017917651684084934
15.0	0.015311207341818943
16.0	0.053545329976916974
17.0	0.03048810710650688
18.0	0.034457364172600716
19.0	0.023497810332504577
20.0	0.00954235839772694
21.0	0.012735130875851666
22.0	0.011466917993171259
23.0	0.02407224318891315
24.0	0.02135672565642948
25.0	0.012291675962779244
26.0	0.024855843329109104
27.0	0.024181208913029533
28.0	0.011954553890289609
29.0	0.012068393761236756
30.0	0.032135754599519714
31.0	0.013396033339412975
32.0	0.029984557453834965
33.0	0.016486243294711204
34.0	0.03142410130503893
35.0	0.004822014469675341
36.0	0.011504921842284077
37.0	0.008569057902696678
38.0	0.014006128582032469
39.0	0.013666170443232964
40.0	0.01273787509385447
41.0	0.0070444914057971025
42.0	0.01998041449140744
43.0	0.020171371639225645
44.0	0.020297898580080898
45.0	0.01356951039444515
46.0	0.005207321272940407
47.0	0.01888970872162623
48.0	0.008228889060190186
49.0	0.01803237075572349
50.0	0.004629310189041289
51.0	0.014728657327960661
52.0	0.020524202637998146
53.0	0.020690101382850566
54.0	0.022320811352407516
55.0	0.00498322745367746
56.0	0.011132304861275012
57.0	0.007513096222773642
58.0	0.0035971223021582736
59.0	0.012315321337788475
60.0	0.013297033304923343
61.0	0.00476956477355702
62.0	0.010835681431278981
63.0	0.015572149798049934
64.0	0.006027181444274929
65.0	0.008919564489682445
66.0	0.01061519695325614
67.0	0.011795791948775653
68.0	0.011045465476743947
69.0	0.00896340346107009
70.0	0.005239496213817493
71.0	0.010681727617723907
72.0	0.016612340916476818
73.0	0.005924642575168492
74.0	0.0012955855010264078
75.0	0.011565241896797498
76.0	0.009726439916333117
77.0	0.006294457509508463
78.0	0.020497024336425328
79.0	0.011136551928444012
80.0	0.006840205206156184
81.0	0.01834880102799371
82.0	0.014863607082309778
83.0	0.007666796113844399
84.0	0.013512364625812198
85.0	0.001846166407482644
86.0	0.010441918707735698
87.0	0.029136897564153427
88.0	0.008807000192728346
89.0	0.023591018827454815
90.0	0.009369871429459269
91.0	0.018219040119423012
92.0	0.015350502112845629
93.0	0.011339743891299967
94.0	0.018005212304858142
95.0	0.028216191751061305
96.0	0.024569967851989886
97.0	0.019396475155140484
98.0	0.030084226329376677
99.0	0.020092668807121846
