Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR7179504_pass	0.2048945590161282	0.6431002495344111
SRR7179505_pass	0.20641421744369823	0.6368342612162461
SRR7179506_pass	0.20518054550303388	0.6428648885111702
SRR7179507_pass	0.2026977234632858	0.6186776107503771
SRR7179508_pass	0.2046284718683491	0.9655059384325888
SRR7179509_pass	0.21595617355283947	0.9504159362969127
SRR7179510_pass	0.21166974587123033	0.9539378282732224
SRR7179511_pass	0.19652718109126008	0.8991882150632062
SRR7179520_pass	0.16518558808998354	0.2096127006350915
SRR7179521_pass	0.16295641470667518	0.2106699481218702
SRR7179522_pass	0.1637471226258261	0.20958449799404136
SRR7179523_pass	0.16212574758608167	0.10350431496696427
SRR7179524_pass	0.18005988896046735	0.10326025308126083
SRR7179525_pass	0.18040810838938728	0.10216600568847653
SRR7179526_pass	0.17756320901809441	0.10311932536522511
SRR7179527_pass	0.17616695231787455	0.0
SRR7179536_pass	1.7002820548034818	27.19326587940235
SRR7179537_pass	1.8876417885913717	29.49401604336555
SRR7179540_pass	1.315706898317783	19.259277950599202
SRR7179541_pass	1.0411096131442843	18.84239316438599
